EAN,Descricao,Validade,Status,Setor,DataCadastro
7896658015113,FISIOTON 400MG 60CP,2027-10,ativo,MARCOS,2026-02-21
7896920304037,MILMUNE CONCENTRADO 30CP,2027-10,ativo,MARCOS,2026-02-21
7896023713941,VITAMINA E 400MG 30CPS CATARINENSE,2027-07,ativo,MARCOS,2026-02-21
7897595635709,VITAMINA E 400MG 30CPS SDZ,2027-04,ativo,MARCOS,2026-02-21
7896112402770,ESTHEP 800MG 30CPS,2028-07,ativo,MARCOS,2026-02-21
7896112407010,ESTHEP 800MG 60CPS,2028-10,ativo,MARCOS,2026-02-21
7897460402207,E-STAR 800MG VIT E 30CPS,2027-03,ativo,MARCOS,2026-02-21
7891317038052,EMAMA 400MG 30CPS,2027-03,ativo,MARCOS,2026-02-21
7891317038717,EMAMA GAMA 400MG 30CPS,2027-05,ativo,MARCOS,2026-02-21
7896658047510,VITA E CICLOS 60CPS,2027-10,ativo,MARCOS,2026-02-21
7896006217572,COGNICX 60CPS,2027-10,ativo,MARCOS,2026-02-21
7897460402108,GABALLON COG 60CPS,2026-11,ativo,MARCOS,2026-02-21
7897851259977,MEMORIOL 30CP,2028-05,ativo,MARCOS,2026-02-21
7896920302989,AXOMAX QI 60CPS,2028-03,ativo,MARCOS,2026-02-21
7891317020354,COGMAX FOS 60CP,2027-08,ativo,MARCOS,2026-02-21
7891317042714,COGMAX 60CPS,2027-06,ativo,MARCOS,2026-02-21
7897947612358,LAVITAN MEMORIA 60CPS,2027-07,ativo,MARCOS,2026-02-21
7898736850289,COGNEURO FOCUS 60CPS,2026-11,ativo,MARCOS,2026-02-21
7898971521432,COGNEURO 60CPS,2026-11,ativo,MARCOS,2026-02-21
7908738907253,QUALIVITA COGNICAO SOFTGEL 60CPS,2027-08,ativo,MARCOS,2026-02-21
7893454714820,CONVIVIA 60CP,2026-12,ativo,MARCOS,2026-02-21
7899420501371,VIVAMENT 30CPS,2027-04,ativo,MARCOS,2026-02-21
7891317040222,QUELATUS MIND FOS MOMENTA 60CP,2027-05,ativo,MARCOS,2026-02-21
7896637032551,LOGNIS 60CP,2027-02,ativo,MARCOS,2026-02-21
7896006217381,LUMIER FORCE 30CPS,2026-07,ativo,MARCOS,2026-02-21
7896226110455,DOZEMAST NP 60CP,2027-09,ativo,MARCOS,2026-02-21
7896226110462,DOZEMAST NP 30CP,2027-09,ativo,MARCOS,2026-02-21
7898665434635,CURCUMA PLUS VITAFOR 500MG 60CPS,2027-10,ativo,MARCOS,2026-02-21
7896023703423,CURCUMA CATARINENSE 130MG 60CPS,2027-10,ativo,MARCOS,2026-02-21
7896226110226,VITERGAN COG 60CP,2026-11,ativo,MARCOS,2026-02-21
7896658049583,FISIOTON COG 60CPS,2027-06,ativo,MARCOS,2026-02-21
7896112453154,REVITAM JUNIOR 120ML,2027-02,ativo,MARCOS,2026-02-21
7898430194467,CALCEOS KIDS 200ML CEREJA,2027-07,ativo,MARCOS,2026-02-21
